text,labels
"2020년 3월 7일, 팝업 룸에서 지역 지도를 제공하는 호텔에 머물렀다.","[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 2, 3, 3, 3, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
"엘리먼트 호텔에 도착해서 아파트 타입의 방에 들어가 보니, 비누가 깔끔하게 준비되어 있었습니다.","[0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
저는 다음 주말에 홈2 스위트 바이 힐튼에서 머무를 예정입니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
에코노 로지 호텔에서는 저렴한 가격의 이코노미 룸을 이용하실 수 있습니다.,"[0, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
저는 아일랜드 스위트를 예약했어요.,"[10, 10, 10, 2, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10]"
엘리먼트 호텔에서는 지하 룸을 예약할 수 있습니다.,"[0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2022년 7월 18일에 아다지오 호텔에서 다리미판을 사용했습니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
"3월 1일은 한국의 삼일절로, 독립 운동을 기념하는 날입니다.","[6, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
멜리사 콜린스 씨는 주니어 스위트 룸을 예약했습니다.,"[4, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 2, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
이 호텔은 고급스러운 이불 커버를 제공합니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10]"
르 메르디앙 호텔에서는 방갈로 객실에 슬리퍼가 기본적으로 제공됩니다.,"[0, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 10, 10, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
조셉 앤더슨은 테라스 룸을 예약했습니다.,"[4, 5, 5, 5, 5, 5, 10, 10, 2, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
저는 이번 주말에 JW 메리어트 호텔에서 머물 계획입니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
마이클 윌리엄스는 2023년 5월 11일 화요일에 리버사이드 룸에서 중요한 회의를 가질 예정입니다.,"[4, 5, 5, 5, 5, 5, 5, 5, 10, 10, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 2, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
에밀리 해리스는 로프트에서 생활하고 있습니다.,"[4, 5, 5, 5, 5, 5, 5, 10, 10, 2, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
